
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
93,93,Saturday Jul 20,boxscore,NYM,,PHI,W,5,4,,42-51,4,11.0,Germen,Hamels,Parnell,3:35,D,26722,+
94,94,Sunday Jul 21,boxscore,NYM,,PHI,W,5,0,,43-51,4,10.0,Harvey,Lee,,2:33,D,32127,++
95,95,Monday Jul 22,boxscore,NYM,,ATL,L,1,2,,43-52,4,11.0,Walden,Parnell,Kimbrel,3:03,N,25111,-
96,96,Tuesday Jul 23,boxscore,NYM,,ATL,W,4,1,,44-52,4,10.0,Torres,Medlen,Parnell,2:54,N,24355,+
97,97,Wednesday Jul 24,boxscore,NYM,,ATL,L,2,8,,44-53,4,11.0,Hudson,Hefner,,3:03,N,28194,-
98,98,Thursday Jul 25,boxscore,NYM,,ATL,W,7,4,,45-53,4,10.0,Wheeler,Loe,Parnell,3:27,D,35793,+
99,99,Friday Jul 26 (1),boxscore,NYM,@,WSN,W,11,0,,46-53,4,10.5,Mejia,Zimmermann,,3:13,D,33858,++
100,100,Friday Jul 26 (2),boxscore,NYM,@,WSN,L-wo,1,2,,46-54,4,10.5,Soriano,Hawkins,,2:53,N,33689,-
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
101,101,Saturday Jul 27,boxscore,NYM,@,WSN,L,1,4,,46-55,4,11.5,Haren,Gee,Soriano,2:17,D,37464,--
102,102,Sunday Jul 28,boxscore,NYM,@,WSN,L,1,14,,46-56,4,12.5,Jordan,Torres,,3:17,D,31467,---
103,103,Monday Jul 29,boxscore,NYM,@,MIA,W,6,5,,47-56,4,12.5,Aardsma,Ramos,Parnell,3:26,N,19343,+
104,104,Tuesday Jul 30,boxscore,NYM,@,MIA,W,4,2,10,48-56,4,12.5,Atchison,Cishek,Parnell,3:10,N,23408,++
105,105,Wednesday Jul 31,boxscore,NYM,@,MIA,L,2,3,,48-57,4,13.5,Alvarez,Mejia,Dunn,2:50,N,18714,-
106,106,Thursday Aug 1,boxscore,NYM,@,MIA,L,0,3,,48-58,4,14.5,Koehler,Harvey,Cishek,3:07,D,25916,--
107,107,Friday Aug 2,boxscore,NYM,,KCR,W-wo,4,2,11,49-58,3,14.5,Torres,Mendoza,,4:07,N,31032,+
108,108,Saturday Aug 3,boxscore,NYM,,KCR,L,3,4,12,49-59,3,15.5,Herrera,Aardsma,Holland,3:46,D,25095,-
109,109,Sunday Aug 4,boxscore,NYM,,KCR,L,2,6,,49-60,3,16.5,Santana,Wheeler,,3:18,D,25658,--
110,110,Tuesday Aug 6,boxscore,NYM,,COL,W,3,2,,50-60,3,17.0,Atchison,Lopez,Hawkins,3:19,N,27198,+
111,111,Wednesday Aug 7,boxscore,NYM,,COL,W,5,0,,51-60,3,17.0,Harvey,Chacin,,2:20,N,27581,++
112,112,Thursday Aug 8,boxscore,NYM,,COL,W,2,1,,52-60,3,16.5,Gee,Manship,Hawkins,2:44,D,26618,+++
113,113,Friday Aug 9,boxscore,NYM,@,ARI,L-wo,4,5,,52-61,3,17.5,Ziegler,Atchison,,2:55,N,25187,-
114,114,Saturday Aug 10,boxscore,NYM,@,ARI,W,4,1,,53-61,3,16.5,Wheeler,McCarthy,Hawkins,3:01,N,42450,+
115,115,Sunday Aug 11,boxscore,NYM,@,ARI,W,9,5,,54-61,3,16.5,Niese,Spruill,,3:08,D,28260,++
116,116,Monday Aug 12,boxscore,NYM,@,LAD,L,2,4,,54-62,3,16.5,Nolasco,Mejia,Jansen,2:49,N,42915,-
117,117,Tuesday Aug 13,boxscore,NYM,@,LAD,L,2,4,,54-63,3,17.5,Ryu,Harvey,Jansen,2:39,N,46335,--
118,118,Wednesday Aug 14,boxscore,NYM,@,LAD,L-wo,4,5,12,54-64,3,18.5,Rodriguez,Feliciano,,4:11,N,44091,---
119,119,Thursday Aug 15,boxscore,NYM,@,SDP,W,4,1,,55-64,3,18.0,Atchison,Gregerson,Germen,3:04,N,21812,+
120,120,Friday Aug 16,boxscore,NYM,@,SDP,W,5,2,,56-64,3,18.0,Niese,Kennedy,Hawkins,3:13,N,25604,++
121,121,Saturday Aug 17,boxscore,NYM,@,SDP,L,2,8,,56-65,3,18.0,Volquez,Aardsma,,3:36,N,36974,-
122,122,Sunday Aug 18,boxscore,NYM,@,SDP,L-wo,3,4,,56-66,3,19.0,Street,Feliciano,,2:49,D,24704,--
123,123,Monday Aug 19,boxscore,NYM,@,MIN,W,6,1,,57-66,3,18.5,Gee,Gibson,,2:53,D,30913,+
124,124,Tuesday Aug 20,boxscore,NYM,,ATL,W,5,3,,58-66,3,17.5,Wheeler,Beachy,Hawkins,3:05,N,25863,++
125,125,Wednesday Aug 21,boxscore,NYM,,ATL,L,1,4,10,58-67,3,18.5,Avilan,Atchison,Kimbrel,3:05,D,22935,-
126,126,Friday Aug 23,boxscore,NYM,,DET,L,1,6,,58-68,3,18.0,Fister,Matsuzaka,,2:57,N,37023,--
127,127,Saturday Aug 24,boxscore,NYM,,DET,L,0,3,,58-69,3,18.0,Scherzer,Harvey,Benoit,3:10,D,35636,---
128,128,Sunday Aug 25,boxscore,NYM,,DET,L,3,11,,58-70,3,19.0,Porcello,Gee,,3:16,D,32084,----
129,129,Monday Aug 26,boxscore,NYM,,PHI,L,1,2,,58-71,4,19.5,Lee,Wheeler,Papelbon,2:53,N,25784,-----
130,130,Tuesday Aug 27,boxscore,NYM,,PHI,W,5,0,,59-71,3,19.5,Niese,Kendrick,,2:19,N,25700,+
131,131,Wednesday Aug 28,boxscore,NYM,,PHI,L,2,6,,59-72,4,20.5,Hamels,Matsuzaka,,3:32,N,24447,-
132,132,Thursday Aug 29,boxscore,NYM,,PHI,W,11,3,,60-72,3,20.5,Torres,Martin,,3:12,D,22008,+
133,133,Friday Aug 30,boxscore,NYM,@,WSN,W,3,2,,61-72,3,20.5,Gee,Zimmermann,Hawkins,2:25,N,35008,++
134,134,Saturday Aug 31,boxscore,NYM,@,WSN,W,11,3,,62-72,3,20.5,Wheeler,Haren,,3:11,N,34481,+++
135,135,Sunday Sep 1,boxscore,NYM,@,WSN,L,5,6,,62-73,3,20.5,Davis,Germen,Soriano,3:09,N,28995,-
136,136,Monday Sep 2,boxscore,NYM,@,ATL,L,5,13,,62-74,3,21.5,Maholm,Matsuzaka,,3:41,D,26530,--
137,137,Tuesday Sep 3,boxscore,NYM,@,ATL,L,1,3,,62-75,3,22.5,Medlen,Torres,Kimbrel,2:42,N,21221,---
138,138,Wednesday Sep 4,boxscore,NYM,@,ATL,W,5,2,,63-75,3,21.5,Gee,Loe,Hawkins,3:01,D,22946,+
139,139,Friday Sep 6,boxscore,NYM,@,CLE,L,1,8,,63-76,3,21.5,Kazmir,Wheeler,,2:58,N,15962,-
140,140,Saturday Sep 7,boxscore,NYM,@,CLE,L,4,9,,63-77,4,21.5,Kluber,Niese,,2:56,N,21453,--
141,141,Sunday Sep 8,boxscore,NYM,@,CLE,W,2,1,,64-77,4,20.5,Francisco,Perez,Hawkins,3:43,D,13317,+
142,142,Monday Sep 9,boxscore,NYM,,WSN,L,0,9,,64-78,4,21.5,Gonzalez,Torres,,2:47,N,20174,-
143,143,Tuesday Sep 10,boxscore,NYM,,WSN,L,3,6,,64-79,4,22.5,Zimmermann,Gee,Soriano,3:02,N,20307,--
144,144,Wednesday Sep 11,boxscore,NYM,,WSN,L,0,3,,64-80,4,22.5,Haren,Wheeler,Soriano,2:49,N,20151,---
145,145,Thursday Sep 12,boxscore,NYM,,WSN,L,2,7,,64-81,4,23.5,Roark,Harang,,2:56,D,20484,----
146,146,Friday Sep 13,boxscore,NYM,,MIA,W,4,3,,65-81,4,22.5,Niese,Hand,Hawkins,2:30,N,20562,+
147,147,Saturday Sep 14 (1),boxscore,NYM,,MIA,L,0,3,,65-82,4,23.0,Alvarez,Torres,Cishek,2:53,D,0,-
148,148,Saturday Sep 14 (2),boxscore,NYM,,MIA,W,3,1,,66-82,4,23.0,Matsuzaka,Turner,Hawkins,2:47,N,25175,+
149,149,Sunday Sep 15,boxscore,NYM,,MIA,W-wo,1,0,12,67-82,4,22.0,Black,Phillips,,3:37,D,25165,++
150,150,Tuesday Sep 17,boxscore,NYM,,SFG,L,5,8,,67-83,4,21.5,Petit,Henn,,3:55,N,24343,-
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
151,151,Wednesday Sep 18,boxscore,NYM,,SFG,W-wo,5,4,,68-83,4,21.5,Black,Romo,,3:11,N,23698,+
152,152,Thursday Sep 19,boxscore,NYM,,SFG,L,1,2,,68-84,4,22.0,Bumgarner,Niese,Lopez,2:37,D,22897,-
153,153,Friday Sep 20,boxscore,NYM,@,PHI,W,6,4,,69-84,4,22.0,Matsuzaka,Hamels,Hawkins,3:00,N,33117,+
154,154,Saturday Sep 21,boxscore,NYM,@,PHI,W,5,4,7,70-84,4,21.0,Gee,Cloyd,,2:00,N,36650,++
155,155,Sunday Sep 22,boxscore,NYM,@,PHI,W,4,3,,71-84,3,21.0,Torres,Lee,Hawkins,2:56,D,44398,+++
156,156,Monday Sep 23,boxscore,NYM,@,CIN,L-wo,2,3,10,71-85,3,21.0,Parra,Burke,,3:42,N,21269,-
157,157,Tuesday Sep 24,boxscore,NYM,@,CIN,W,4,2,,72-85,3,21.0,Niese,Leake,Black,3:01,N,28887,+
158,158,Wednesday Sep 25,boxscore,NYM,@,CIN,W,1,0,,73-85,3,20.0,Matsuzaka,Latos,Hawkins,2:51,D,26223,++
159,159,Thursday Sep 26,boxscore,NYM,,MIL,L,2,4,,73-86,3,21.0,Figaro,Gee,Henderson,3:04,N,21350,-
160,160,Friday Sep 27,boxscore,NYM,,MIL,L,2,4,,73-87,3,22.0,Gallardo,Torres,Henderson,2:40,N,25276,--
161,161,Saturday Sep 28,boxscore,NYM,,MIL,L,2,4,10,73-88,3,22.0,Hand,Atchison,Figaro,3:57,D,29326,---
162,162,Sunday Sep 29,boxscore,NYM,,MIL,W,3,2,,74-88,3,22.0,Black,Kintzler,Francisco,2:23,D,41891,+
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
